"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"326","RVPE47789-1","RVPE47789-1","RV","",2001-11-23,"D","Day","CLARK P.D. Peter","present but not counted","","5-50m",54,280738,6253807,-33.83325634,138.6305679,"verification required","Eucalyptus leucoxylon ssp.","MYRTACEAE","South Australian Blue Gum","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Spring Farm (36) RD 1.7 km ESE of Clare","","Y"
"327","RVPO56947-242528","RVPO56947-242528","RV","",2002-09-25,"D","Day","PRYDE C. A. Cathy | ANDERSON R.J. Bob","present but not counted","","501-1000m",54,487280,5911911,-36.93876414,140.8571499,"verification required","Phalaris aquatica","GRAMINEAE","Phalaris","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis Woodland","Wolseley to Mount Gambier RAIL 0.1 km NE of Hynam","","N"
"328","OPP866476-22","OPP866476-22","OP","EBS ECOLOGY - FLORA & FAUNA SURVEY SA",2012-04-20,"D","Day","HOW T.L. Travis","present but not counted","","101-250m",53,559798,6716524,-29.6799,135.61802,"verified","Tetragonia tetragonoides","AIZOACEAE","New Zealand Spinach","","","","","Y"
"329","RVPO13813-55413","RVPO13813-55413","RV","",1998-12-10,"D","Day","O'CONNOR P.J. Patrick | MIBUS R. RAELENE","present but not counted","","101-250m",54,376765,6138802,-34.88570345,139.6514182,"verification required","Panicum sp.","GRAMINEAE","Panic/Millet","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis +/- E. socialis Mallee","Purnong to Murrary Bridge RD 2.6 km ESE of Bowhill","","Y"
"330","OPP798774-162","OPP798774-162","OP","BDBSA RESERVES DATABASE",1990-01-01,"T","Decade","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","1-10km",54,279809,6120003,-35.03868,138.5861,"verified","Acacia longifolia ssp. longifolia","LEGUMINOSAE","Sallow Wattle","","","","Sturt Gorge (RP)","N"
"331","SUP18525-103130","SUP18525-103130","SU","GAWLER",2001-10-18,"D","Day","GRAHAM K.L. Kate | STEPHANOVIC A. Anne | CHAPPELL A. Andrew","present but not counted","","5-50m",53,565391,6386706,-32.65534,135.69729,"verified","Roepera ovata","ZYGOPHYLLACEAE","Dwarf Twinleaf","","","From gate on road E of Paney Shearers Quarters travel 1.95 km to next gate then 3.2 km. Site is ~20 m S of track. Gawler Ranges National Park Paney East. Cacuppa Mapsheet. Previous coordinates recorded from 2001 survey - E 565390.000/N 6386700.000. Current coordinates updated from recent survey 20","Gawler Ranges (NP)","Y"
"332","SUP1214-9","SUP1214-9","SU","HORSNELL GULLY C.P.(NPWS 1981)",1977-10-01,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","51-100m",54,290257,6132268,-34.9304,138.70364,"verified","Avena barbata","GRAMINEAE","Bearded Oat","","","","Horsnell Gully (CP)","N"
"333","RVPU25052-24162","RVPU25052-24162","RV","",1999-11-30,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","101-250m",53,553319,6328023,-33.1853136,135.5719649,"verification required","Danthonia sp. (NC)","GRAMINEAE","Wallaby-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata var. incrassata Mallee","Tod HWY 6 km SSE of Kyancutta","","Y"
"334","RVPE35978-1","RVPE35978-1","RV","",2000-11-28,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris","present but not counted","","501-1000m",54,352497,6057533,-35.61498758,139.3713497,"verification required","Duma florulenta","POLYGONACEAE","Lignum","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Grassland / Herbland dominated by alien species","Princess HWY 5.6 km WNW of Waltowa","","Y"
"335","OPP846029-8","OPP846029-8","OP","RIVER TORRENS LINEAR PARK WEED SURVEY",2013-08-28,"D","Day","ENVIRONMENTAL BIODIVERSITY SERVICES | BROWN T. Tonia | EVERITT A. N/A","present but not counted","","No entered",54,277942,6134039,-34.91182,138.56939,"verified","Sonchus oleraceus","COMPOSITAE","Common Sow-thistle","Infestation Description (patch no. individuals) =Patch; Weed Type = LARGE PATCH; Risk to asset? (Y/N) = YES; Priortisation Rating = P1","","Coordinates taken from start; LGA = West Torrens; MAP ID = 379; Management Unit = WT1","","N"
"336","OPP798644-38","OPP798644-38","OP","BDBSA RESERVES DATABASE",1988-10-12,"D","Day","LANG P.J. Peter | CROFT T.S. Tim","present but not counted","","501-1000m",53,679317,6019426,-35.9531,136.98829,"verified","Gyrostemon australasicus","GYROSTEMONACEAE","Buckbush Wheel-fruit","","**Birds** Suitable for Painted Button-Quail (V) Beautiful Firetail (R) and 4 uncommon species - Tawny-crowned H-E Brush Bronzewing Purple-gaped H-E Shy Hylacola**Rem** 55% (Hd of Ritchie)**Environmental Association** = 36% (Parndana = 3.1.2)","RITCHIE : PT 2","614 (HA)","Y"
"337","RVPO21646-91677","RVPO21646-91677","RV","",1999-10-19,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","251-500m",54,294755,6165361,-34.63312265,138.7609367,"verification required","Avena sp.","GRAMINEAE","Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Native sp. / Exotic sp. Grassland","Somerton (C) RD 1.1 km SSE of Bentley (suburb centre)","","N"
"338","OPP953438-315","OPP953438-315","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2019-10-28,"D","Day","PICKETT M.I. Marcus","Present but not counted","","251-500m",54,288400,6119350,-35.0464,138.68004,"verified","Xanthorrhoea semiplana ssp. semiplana","LILIACEAE","Yacca","","Twenty vegetation types recorded mostly mid woodland to open forest dominated by Eucalyptus obliqua with a substantial area of mid woodland to open forest variously dominated by E. leucoxylon &/or E. viminalis ssp. viminalis +/- E. obliqua &/or *Pinus radiata in places areas of E. obliqua &/or E","Ironbank (Ackland Hill Rd) FIMS ID 687 (Ironbank)","","Y"
"339","RVPO85384-386641","RVPO85384-386641","RV","",2007-08-19,"D","Day","FRAZER D.S. Deb | OBST C.S. Chris","present but not counted","","501-1000m",54,433871,5867035,-37.34102211,140.2534392,"verification required","Arctotheca calendula","COMPOSITAE","Cape Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis var. camaldulensis  Forest","Gillap Summer TRAC 1.8 km ENE of Kangaroo Inn","","N"
"340","RVPO58988-249522","RVPO58988-249522","RV","",2002-09-30,"D","Day","PLAYFAIR R.M. Roger | HORGAN M.A. Melissa","present but not counted","","51-100m",54,261093,6370871,-32.7741467,138.4493728,"verification required","Hordeum glaucum","GRAMINEAE","Blue Barley-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus leucoxylon  Low Woodland"," RD 4.4 km NNW of Mount Robert (summit)","","N"
"341","OPP423706-2","OPP423706-2","OP","MURRAY WETL'D ONGOING SAMDB NRMB",2003-10-14,"D","Day","STEGGLES T.A. Tracey","present but not counted","","5-50m",54,439494,6219917,-34.15992,140.34357,"verified","Atriplex suberecta","CHENOPODIACEAE","Lagoon Saltbush","","","","","Y"
"342","RVPO37691-164534","RVPO37691-164534","RV","",2000-12-04,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris","present but not counted","","1-10km",54,383516,6072783,-35.48165415,139.7159481,"verification required","Pinus sp.","PINACEAE","Pine","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus spp. Mixed Mallee","Dukes HWY 2.1 km ESE of Coomandook","","N"
"343","OPP575464-1","OPP575464-1","OP","DEFEATING THE WEED MENACE-ONGROUND WORKS",2015-06-12,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","1","","5-50m",54,379542,5991468,-36.21413,139.65988,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","treated with grasslan applied. Herbicide applied from helicopter","","","Coorong (NP)","N"
"344","RVPO96227-434774","RVPO96227-434774","RV","",2014-06-27,"D","Day","NEW B.D. Bill | EDWARDS J.S. Jeff","present but not counted","","1-10km",53,753346,6177706,-34.51117114,137.7596512,"verification required","Oxalis pes-caprae","OXALIDACEAE","Soursob","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis +/- E. brachycalyx . +/- E. phenax ssp. +/- E. socialis ssp. Mallee","Sandy Church RD 2 km WNW of Sandilands","","N"
"345","SUP16951-38765","SUP16951-38765","SU","MT REMARKABLE NAT PARK 1982",1983-01-10,"D","Day","WAUCHOPE J. Jeff","present but not counted","","101-250m",54,224322,6363479,-32.83214,138.05502,"verified","Exocarpos cupressiformis","SANTALACEAE","Native Cherry","","","","Mount Remarkable (NP)","Y"
"346","RVPO29537-129298","RVPO29537-129298","RV","",1999-12-15,"D","Day","WARD M.J. Mathew | O'CONNOR P.J. Patrick","present but not counted","","501-1000m",54,460470,5904215,-37.00739425,140.5556808,"verification required","Phalaris aquatica","GRAMINEAE","Phalaris","Collected using the DEWNR Roadside Vegetation Survey Methodology","Melaleuca brevifolia Low shrubland","Konetta-Naracoorte RD 6.2 km SSW of Stewart Range","","N"
"347","OPP377399-21","OPP377399-21","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2008-02-14,"D","Day","PATTERSON T. Tony","present but not counted","","501-1000m",54,300142,6159143,-34.69022,138.81819,"verified","Calytrix tetragona","MYRTACEAE","Common Fringe-myrtle","","","Para Wirra A08 Prescribed Burn; Incident Number 200804009","Para Wirra (CP)","Y"
"348","RVPO55535-236837","RVPO55535-236837","RV","",2002-03-18,"D","Day","BATEMAN T.V. Teresa","present but not counted","","101-250m",54,295179,6194827,-34.36767651,138.7726297,"verification required","Salsola australis","CHENOPODIACEAE","Buckbush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic grassland","Bald RD 0.9 km SSE of Linwood","","Y"
"349","OPP398982-16","OPP398982-16","OP","MOKOTA CP VEGETATION MONITORING",2000-12-09,"D","Day","ROBERTSON M.A. Meg | VONOW H.P. Helen","present but not counted","","5-50m",54,310165,6285747,-33.55106,138.95521,"verified","Austrostipa nodosa","GRAMINEAE","Tall Spear-grass","Present in 2 subquadrats","","Mokota Conservation Park northern slopes off White Hill Road","Mokota (CP)","Y"
"350","OPP52569-1481881","OPP52569-1481881","OP","STONY DESERTS",1997-05-12,"D","Day","CANTY P.D. Peter | LANG P.J. Peter | BRANDLE R. Robert","present but not counted","","101-250m",53,746100,6721100,-29.61569,137.54148,"verified","Nitraria billardierei","ZYGOPHYLLACEAE","Nitre-bush","","Floodout area with Nitraria - Atriplex vesicaria low shrubland.","About 0.5 km N of Alberrie Creek Railway siding (abandoned) on pipeline Rd Finnis Springs Crown Lease.","","Y"
"351","RVPU16696-12375","RVPU16696-12375","RV","",1999-07-30,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","1-10km",53,574159,6223676,-34.12514223,135.8042073,"verification required","Melaleuca lanceolata ssp. lanceolata (NC)","MYRTACEAE","Dryland Tea-tree","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus calycogona Mallee","Glover RD 4.5 km NNW of Three Brothers (summit)","","Y"
"352","OPP520245-38","OPP520245-38","OP","EASTERN PLAINS FIRE TRIAL -KI",2011-11-14,"D","Day","HABY M. Michelle | TAYLOR D. David","present but not counted","","5-50m",53,728393,6033956,-35.81198,137.52786,"verified","Pimelea flava ssp. flava","THYMELAEACEAE","Yellow Riceflower","","Survey Timing 18 months post burn","Site SC1 - Plot 3 - Treatment CoppiceBurn - Survey Timing 18 months post burn","","Y"
"353","OPP724026-4-PENDING","OPP724026-4-PENDING","OP","SCIENTIFIC PERMIT DATA - APPROVED",2016-10-20,"D","Day","DUIGAN S. Sue","present but not counted","PENDING","5-50m",54,287847,6106225,-35.16454,138.67062,"verified","Acacia pycnantha","LEGUMINOSAE","Golden Wattle","Specimen lodged at SA Herbarium.","","Survey Quadrat","Bone Gully (CA)","Y"
"354","SUP29801-255895","SUP29801-255895","SU","WOOMERA PROHIBITED AREA",2007-04-19,"D","Day","JAY J. Justin | BLAYLOCK B.J. Brian","present but not counted","","5-50m",53,560424,6605868,-30.67841,135.63082,"verified","Abutilon leucopetalum","MALVACEAE","Desert Lantern-bush","","","Woomera Prohibited Area. Western side of track - Puckridges Paddock.","","Y"
"355","OPP500634-1","OPP500634-1","OP","SAMDB NRMB PEST OPS",2012-01-13,"D","Day","ROBERTSON D. David","present but not counted","","5-50m",54,476549,6218309,-34.17592,140.74553,"verified","Alternanthera pungens","AMARANTHACEAE","Khaki Weed","DENSITY = Less than 1 percent.SITE STATUS = Active.Source = Riverland.","","","","N"
"356","SUP17280-47874-AD144449","SUP17280-47874-AD144449","SU","NORTH WESTERN EYRE PENINSULA",1999-10-11,"D","Day","MURFET D.E. Denzel | FERGUSON R.J. ROSEMARY","present but not counted","AD144449","5-50m",53,548363,6372829,-32.7814,135.51644,"verified","Maireana radiata","CHENOPODIACEAE","Radiate Bluebush","","","Drive 1.2 km from grid SW walk in approximately 50 m to mallee. Eremophila scoparia flat.","Pinkawillinie (CP)","Y"
"357","OPP845281-2","OPP845281-2","OP","RIVER TORRENS LINEAR PARK WEED SURVEY",2013-07-30,"D","Day","ENVIRONMENTAL BIODIVERSITY SERVICES | BROWN T. Tonia | EVERITT A. N/A","present but not counted","","No entered",54,286906,6139119,-34.86797,138.66873,"verified","Aizoon pubescens","AIZOACEAE","Coastal Galenia","Infestation Description (patch no. individuals) =Patch; Weed Type = Weeds small patch; Risk to asset? (Y/N) = YES; Priortisation Rating = P2","","Coordinates taken from start; LGA = Campbelltown; MAP ID = 144; Management Unit = C1","","N"
"358","RVPO91160-412229","RVPO91160-412229","RV","",2009-03-11,"D","Day","GRIFFIN C. Clare | EDWARDS J.S. Jeff","present but not counted","","501-1000m",53,752346,6219182,-34.13779644,137.7365946,"verification required","Sonchus oleraceus","COMPOSITAE","Common Sow-thistle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Revegetation / Plantation native / exotic +/- native regeneration","R Fuss RD 2.2 km NNW of Agery","","N"
"359","OPP429125-1","OPP429125-1","OP","AERIAL/GROUND WEED SURVEY INNAMINCKA RR",2011-06-22,"D","Day","CLARKE A. Alex | RURAL SOLUTIONS - -","present but not counted","","101-250m",54,474343,6933817,-27.71973,140.73972,"verified","Cenchrus ciliaris","GRAMINEAE","Buffel Grass","","","","Innamincka (RR)","N"
"360","RVPO29674-129847","RVPO29674-129847","RV","",1999-12-13,"D","Day","WARD M.J. Mathew | O'CONNOR P.J. Patrick","present but not counted","","251-500m",54,414668,5857112,-37.42888406,140.0355243,"verification required","Melaleuca lanceolata ssp. lanceolata (NC)","MYRTACEAE","Dryland Tea-tree","Collected using the DEWNR Roadside Vegetation Survey Methodology","Melaleuca lanceolata Low woodland","Bray Junction - Beachport RD 4.7 km WSW of Woakwine","","Y"
"361","OPP958985-49","OPP958985-49","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2019-10-19,"D","Day","PICKETT M.I. Marcus","Present but not counted","","101-250m",54,295300,6120450,-35.03792,138.75591,"verified","Coronidium scorpioides","COMPOSITAE","Button Everlasting","","see other comments","Mylor (Stock Road) FIMS ID 694 (E section) (0.6 km NW of Mylor)","","Y"
"362","OPP679015-1","OPP679015-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2015-04-07,"D","Day","SWALES J. Jasmine | ANDERSON T. Tim","1","","5-50m",53,715408,6181323,-34.48721,137.34581,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Wardang Island; Boxthorn control site - aerial application of Graslan herbicide","","N"
"363","OPP651659-4","OPP651659-4","OP","CLLMM BIRD AND VEGETATION ASSESSMENT",2015-10-15,"D","Day","NEW B.D. Bill","present but not counted","","251-500m",54,319600,6081493,-35.39362,139.01362,"verified","Atriplex suberecta","CHENOPODIACEAE","Lagoon Saltbush","Spp RecordID:19280|","Nil habitat comments recorded.","|Source ProjectID:3|Source WaypointID:659|Access Notes: |TreatID:Revegetated|Planted Year:2015|","","Y"
"364","OPP398111-2","OPP398111-2","OP","BIMBOWRIE  C R BIOLOGICAL SURVEY",2005-04-07,"M","Month","KENNY S.D. Sue","present but not counted","","0-5m",54,420958,6464486,-31.95285,140.16363,"verified","Maireana pyramidata","CHENOPODIACEAE","Black Bluebush","","","","Bimbowrie (CP)","Y"
"365","OPP800688-28","OPP800688-28","OP","BDBSA RESERVES DATABASE",1999-09-01,"M","Month","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","1-10km",53,500818,6398211,-32.55349,135.00871,"verified","Eucalyptus gracilis","MYRTACEAE","Yorrell","","","","Gawler Ranges (CP)","Y"
"366","SUP10632-57","SUP10632-57","SU","FLINDERS MANAGEMENT REVIEW",1988-05-16,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","",54,341473,6643428,-30.3306,139.35096,"verified","Malvastrum americanum var. americanum","MALVACEAE","Malvastrum","","","","","?"
"367","RVPO58498-248112","RVPO58498-248112","RV","",2002-05-27,"D","Day","ANNELLS A. Alison | BATEMAN T.V. Teresa","present but not counted","","251-500m",54,292294,6192788,-34.38547967,138.7407861,"verification required","Asphodelus fistulosus","LILIACEAE","Onion Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Native grassland comprising mostly native species","Wychunga RD 3.7 km SSW of Linwood","","N"
"368","SUP15260-14","SUP15260-14","SU","UPPER MID NORTH",1996-10-23,"D","Day","ROBERTSON M.A. Meg | SCHOLZ T.L. Tamara","present but not counted","","5-50m",54,271133,6396095,-32.54895,138.56266,"verified","Goodenia pusilliflora","GOODENIACEAE","Small-flower Goodenia","","","10m from the corner intersection of the paddock fence in the SE direction.","","Y"
"369","SUP3985-41","SUP3985-41","SU","MURRAY MALLEE",1990-07-27,"D","Day","GILLEN J.S. Jake | CANTY P.D. Peter","present but not counted","","",54,391182,6051968,-35.67017,139.79764,"verified","Lomandra collina","LILIACEAE","Sand Mat-rush","","","3.75 km W from Rovers Gap.","","Y"
"370","OPP798263-51","OPP798263-51","OP","BDBSA RESERVES DATABASE",1985-12-12,"D","Day","INNS R. Robert | BOSSARD K. Karl","present but not counted","","1-10km",53,708515,6032763,-35.82715,137.30833,"verified","Hakea rostrata","PROTEACEAE","Beaked Hakea","","**Birds** Suitable for White''s Thrush Beautiful Firetail Bush Thick-knee Painted Button-Quail**Fauna** Suitable for Sooty Marsupial Mouse (recorded on adjacent property)**Rem** 26% (Hd of Ritchie)**Environmental Association** = 36% (Parndana = 3.1.3)","SEDDON : 31","654 (HA)","Y"
